       starname             bjd              rv           rverr            fwhm             bis          biserr              sh           sherr             qsh             tel 
        HD28305   2458927.93194       -73.83820         2.63117        10.53280       129.99784         4.46079             nan             nan             nan         HIDESF2 
        HD28305   2458928.92276       -63.10519         2.49772        10.54207       113.92842         3.59115             nan             nan             nan         HIDESF2 
        HD28305   2458929.91370       -68.00204         2.48550        10.53483       124.51525         3.55214             nan             nan             nan         HIDESF2 
        HD28305   2458941.91961       -63.46074         2.70180        10.54213       129.88394         3.97467             nan             nan             nan         HIDESF2 
        HD28305   2458943.92896       -66.93705         2.87734        10.53948       121.10797         3.46759             nan             nan             nan         HIDESF2 
        HD28305   2458944.92739       -57.14043         2.90442        10.55893       107.46363         3.69044             nan             nan             nan         HIDESF2 
        HD28305   2458945.92679       -60.82131         2.84840        10.53488       119.55148         3.23609             nan             nan             nan         HIDESF2 
        HD28305   2458946.92707       -55.37579         2.95518        10.53458       111.40704         3.04865             nan             nan             nan         HIDESF2 
        HD28305   2458947.93048       -73.95736         3.18796        10.56410       123.40509         4.36058             nan             nan             nan         HIDESF2 
        HD28305   2458948.92817       -65.68028         3.73109        10.54302       145.64602         5.93968             nan             nan             nan         HIDESF2 
        HD28305   2458949.92519       -54.94238         4.11250        10.57145       139.58138         6.24346             nan             nan             nan         HIDESF2 
        HD28305   2459075.32374        40.40593         3.23686        10.58976       121.47651         2.79333             nan             nan             nan         HIDESF2 
        HD28305   2459077.32433        39.69257         3.09892        10.58829       131.65696         2.64416             nan             nan             nan         HIDESF2 
        HD28305   2459079.28823        47.74252         3.25771        10.59825       136.02042         3.43339             nan             nan             nan         HIDESF2 
        HD28305   2459080.25275        48.03943         3.66296        10.57392       123.94944         4.62005             nan             nan             nan         HIDESF2 
        HD28305   2459081.32210        53.53715         3.25918        10.59711       125.85670         3.30484             nan             nan             nan         HIDESF2 
        HD28305   2459088.28443        61.24185         3.84442        10.56050       111.26650         4.25714             nan             nan             nan         HIDESF2 
        HD28305   2459096.25976        70.53012         3.42767        10.60434       113.43712         3.62823             nan             nan             nan         HIDESF2 
        HD28305   2459100.26573        82.40880         2.99820        10.58224       119.84462         3.22010             nan             nan             nan         HIDESF2 
        HD28305   2459107.24219        82.14907         3.48534        10.60511       118.20301         4.04521             nan             nan             nan         HIDESF2 
        HD28305   2459113.21336        82.47550         3.13062        10.58398       125.85307         4.61482             nan             nan             nan         HIDESF2 
        HD28305   2459124.20607        76.33766         3.26096        10.54438       134.05914         3.54795             nan             nan             nan         HIDESF2 
        HD28305   2459164.30674       104.26835         3.00882        10.57893       121.96856         3.63492             nan             nan             nan         HIDESF2 
        HD28305   2459167.19782       102.52073         3.14728        10.52233       117.04041         2.51417             nan             nan             nan         HIDESF2 
        HD28305   2459168.09429       106.43529         2.93606        10.55953       111.60065         2.25968             nan             nan             nan         HIDESF2 
        HD28305   2459183.02419       109.47580         3.24320        10.53396       117.71883         2.98151             nan             nan             nan         HIDESF2 
        HD28305   2459185.10758       101.79922         2.80260        10.56308       117.55836         2.87380             nan             nan             nan         HIDESF2 
        HD28305   2459186.06102       111.51448         2.97798        10.55231       128.06083         2.78003             nan             nan             nan         HIDESF2 
        HD28305   2459187.10642       101.07087         3.14478        10.55226       133.18295         3.88171             nan             nan             nan         HIDESF2 
        HD28305   2459190.99644       110.72135         3.14574        10.55498       118.59502         3.03677             nan             nan             nan         HIDESF2 
        HD28305   2459192.00351       110.10599         3.08501        10.52941       110.63667         3.82148             nan             nan             nan         HIDESF2 
        HD28305   2459194.07940       110.86415         2.96372        10.52242       126.82222         3.27019             nan             nan             nan         HIDESF2 
        HD28305   2459203.00253       108.90228         3.05286        10.53508       120.41112         4.08688             nan             nan             nan         HIDESF2 
        HD28305   2459203.01816       112.21786         2.85251        10.52315       119.31091         3.49316             nan             nan             nan         HIDESF2 
        HD28305   2459214.08247        98.38833         4.11233        10.52016       149.76514         9.08572             nan             nan             nan         HIDESF2 
        HD28305   2459214.90919        89.76809         3.23776        10.50630       133.20490         4.19065             nan             nan             nan         HIDESF2 
        HD28305   2459218.99286        98.50094         3.03451        10.52108       132.91960         2.96114             nan             nan             nan         HIDESF2 
        HD28305   2459242.02257        66.48520         3.26209        10.56877       123.56657         5.82305             nan             nan             nan         HIDESF2 
        HD28305   2459248.96882        87.51431         2.87968        10.55316       123.58755         4.54340             nan             nan             nan         HIDESF2 
        HD28305   2459280.92047        69.58634         3.28818        10.55446       129.85015         8.49064             nan             nan             nan         HIDESF2 
        HD28305   2459281.90716        71.17616         2.86222        10.56597       134.89821         6.19055             nan             nan             nan         HIDESF2 
        HD32518   2457332.29993       -31.97158         3.67766        10.52074       163.03310         5.45814             nan             nan             nan         HIDESF1 
        HD32518   2457391.99166        55.31091         3.73399        10.41757       176.49223        10.54714             nan             nan             nan         HIDESF1 
        HD32518   2457394.12757        60.31574         3.62757        10.50522       175.10831         7.93137             nan             nan             nan         HIDESF1 
        HD32518   2457400.92786        49.00266         4.29248        10.44055       195.60687        10.97132             nan             nan             nan         HIDESF1 
        HD32518   2457424.02090        -7.06900         4.05802        10.55700       198.37490        10.54400             nan             nan             nan         HIDESF1 
        HD32518   2457426.04682         4.30041         3.73270        10.46638       174.87653         8.78188             nan             nan             nan         HIDESF1 
        HD32518   2457441.95114       -60.61966         4.29456        10.49647       180.21546        10.97860             nan             nan             nan         HIDESF1 
        HD32518   2457475.96475       -39.82732         3.52085        10.45146       163.06481         9.06850             nan             nan             nan         HIDESF1 
        HD32518   2457626.30769      -112.67928         3.68134        10.49296       163.05296         8.61418             nan             nan             nan         HIDESF1 
        HD32518   2457658.33664       -19.47156         3.52593        10.45369       162.59416         6.09123             nan             nan             nan         HIDESF1 
        HD32518   2457676.24740        63.88101         3.19372        10.45660       169.44462         6.36171             nan             nan             nan         HIDESF1 
        HD32518   2457692.16307        40.90239         3.57129        10.74031       167.30995         7.24318             nan             nan             nan         HIDESF1 
        HD32518   2457722.16345         8.20882         3.89206        10.48595       158.88509         6.63255             nan             nan             nan         HIDESF1 
        HD32518   2457743.24436       -16.39183         4.40721        10.47969       128.65165         8.27402             nan             nan             nan         HIDESF1 
        HD32518   2457760.02809       -64.98527         3.18947        10.50346       139.86275         6.26375             nan             nan             nan         HIDESF1 
        HD32518   2457791.04834       -34.00805         5.53664        10.52100       197.97652        19.00600             nan             nan             nan         HIDESF1 
        HD32518   2457837.96243        38.40390         5.18658        10.41844       131.94813        11.68342             nan             nan             nan         HIDESF1 
        HD32518   2457950.26685       -54.62676         4.60703        10.48199       192.84849        10.98206             nan             nan             nan         HIDESF1 
        HD32518   2457986.18354        51.25268         4.31701        10.56207       181.83920        11.39420             nan             nan             nan         HIDESF1 
        HD32518   2457992.18492        64.00703         6.66919        10.60640       152.05949        20.53297             nan             nan             nan         HIDESF1 
        HD32518   2457993.27293        53.05173         3.86919        10.51213       144.34184         6.62998             nan             nan             nan         HIDESF1 
        HD32518   2458036.10613        35.37531         3.43233        10.51483       136.31190         5.49536             nan             nan             nan         HIDESF1 
        HD32518   2458059.03362       -27.68535         3.74853        10.50971       134.66214         5.51254             nan             nan             nan         HIDESF1 
        HD32518   2458084.23932       -51.32831         5.00042        10.44345       137.32711        10.45476             nan             nan             nan         HIDESF1 
        HD32518   2458491.16121        99.90116         4.62137        10.93630       159.03274         7.50007             nan             nan             nan         HIDESF2 
        HD32518   2458530.93875       -10.21890         7.96640        10.98740       189.35753        19.91357             nan             nan             nan         HIDESF2 
        HD32518   2458546.99130       -59.27226         5.60072        10.82193       133.45622         8.79800             nan             nan             nan         HIDESF2 
        HD32518   2458553.91244      -106.62855         3.86686        10.77153       136.51107         6.58904             nan             nan             nan         HIDESF2 
        HD32518   2458705.22664       -18.26049        10.89583        10.88173        90.53458         9.62936             nan             nan             nan         HIDESF2 
        HD32518   2458706.23676       -71.56921         5.54795        10.78023        97.35488         4.69483             nan             nan             nan         HIDESF2 
        HD32518   2458752.26619        30.25839         4.83041        10.84571       147.01588         6.18271             nan             nan             nan         HIDESF2 
        HD32518   2458797.28940        68.19447         4.64880        10.87759       127.58012         5.67753             nan             nan             nan         HIDESF2 
        HD32518   2458851.09571       -21.00828         7.58439        10.64210       183.14829        29.70940             nan             nan             nan         HIDESF2 
        HD32518   2458884.04273       -61.34305        10.01752        10.62019       199.77643        16.08560             nan             nan             nan         HIDESF2 
        HD32518   2459125.20281        55.78898         4.85213        10.55844       162.23888        10.03893             nan             nan             nan         HIDESF2 
        HD32518   2459167.11389       -46.36077         5.29969        10.64451       127.15435         6.97727             nan             nan             nan         HIDESF2 
        HD32518   2459191.17261       -69.16490         5.48837        10.60129       158.63476        13.23614             nan             nan             nan         HIDESF2 
        HD32518   2459275.98909       107.98085        11.17765        10.69265       137.35822        36.17575             nan             nan             nan         HIDESF2 
        HD32518   2459276.96659       114.42034         6.42644        10.66293       194.64032        10.97640             nan             nan             nan         HIDESF2 
        HD45410   2453028.20508         0.47185         4.63218             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453107.96424        13.72851         4.45176             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453290.24476        33.40445         4.66237             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453307.16505        31.08080         3.20409             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453363.32940        23.49224         3.64238             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453448.04026        -1.25313         3.93609             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453467.95780         3.56058         8.23309             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453494.97947        -9.68640         6.50654             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453659.29007       -36.20385         3.56031             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453694.31471       -44.01865         3.74866             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453729.20345       -33.02707         4.08840             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453743.16647       -23.74463         3.88417             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453811.94499       -19.10648         3.31649             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2453852.96518        -9.51798         4.51982             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454022.30306        13.52036         3.72210             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454049.24855        19.58666         5.06824             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454087.28463        27.27645         3.64125             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454122.21037        31.37270         3.74987             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454143.17170        39.21327         3.87499             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454169.05060        32.72417         4.03707             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454196.00613        24.22465         4.75333             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454215.96728        32.21860         4.12857             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454338.31449         3.19084         4.57447             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454379.26051        -7.24130         3.74280             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454416.11074        -7.41691         5.02860             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2454458.17407       -24.12132         3.73220         8.86705       117.37180         7.00318         0.15784         0.02172         1.00000          HIDESS 
        HD45410   2454492.16937       -32.82592         3.42538         8.91847        95.04650         4.51995         0.15962         0.01840         1.00000          HIDESS 
        HD45410   2454524.01301       -17.23793         3.61293         8.88675       111.92826         6.66197         0.11374         0.01545         1.00000          HIDESS 
        HD45410   2454553.93434       -28.66158         3.09904         8.91142       112.06445         5.58618         0.15666         0.01667         1.00000          HIDESS 
        HD45410   2454556.98430       -33.74028         2.98075         8.93252       106.49878         4.70872         0.15548         0.01855         1.00000          HIDESS 
        HD45410   2454586.94845       -23.18937         3.62679         8.83846        81.88923         6.07518         0.12861         0.03124         1.00000          HIDESS 
        HD45410   2454759.19535       -16.61681         3.33386         8.82242        83.96333         4.55915         0.15735         0.02632         1.00000          HIDESS 
        HD45410   2454796.32768        -0.93257         3.83703         8.84166       108.96426         5.04449         0.14950         0.01892         1.00000          HIDESS 
        HD45410   2454818.14597       -12.22757         3.44055         8.89566       119.51270         6.70189         0.13886         0.02100         1.00000          HIDESS 
        HD45410   2454855.19068        -2.71407         6.00361         8.89957       126.75964        10.36207         0.11150         0.04891         1.00000          HIDESS 
        HD45410   2454856.16111         0.64570         3.53341         8.89147       108.15411         5.58258         0.12820         0.02350         1.00000          HIDESS 
        HD45410   2454884.08144        18.51704         4.00161         8.83497       107.17230         6.40696         0.15540         0.02369         1.00000          HIDESS 
        HD45410   2454925.00706         9.83094         5.56395         8.79617        81.18637         5.19863         0.12783         0.04779         1.00000          HIDESS 
        HD45410   2454928.04078        12.20770         3.01864         8.76985        79.03854         6.07704         0.15520         0.03640         1.00000          HIDESS 
        HD45410   2454949.99284        24.07851         3.89336         8.76904        94.61020         7.78830         0.14060         0.06113         1.00000          HIDESS 
        HD45410   2455133.34433        29.41865         4.06579         8.73912       107.30745         4.69055         0.14618         0.01968         1.00000          HIDESS 
        HD45410   2455161.32194        16.98105         3.67576         8.83751       124.17355         4.84589         0.14109         0.01554         1.00000          HIDESS 
        HD45410   2455182.23027        13.03073         3.59813         8.85453       141.42431         6.77018         0.13331         0.01653         1.00000          HIDESS 
        HD45410   2455585.24198       -41.11136         3.78059         8.78401        81.82019         6.01655         0.12172         0.04001         1.00000          HIDESS 
        HD45410   2455879.28539        24.44038         3.62841         8.80477       116.07292         5.10252         0.14426         0.01872         1.00000          HIDESS 
        HD45410   2456287.21780       -20.99663         3.36399             nan             nan             nan             nan             nan             nan          HIDESS 
        HD45410   2456578.35865        -9.49859         3.91186         8.79025       115.19884         6.20924         0.12960         0.02087         1.00000          HIDESS 
        HD45410   2456664.18570       -11.41648         3.74263         9.23303       121.34735         6.14268             nan             nan             nan         HIDESF1 
        HD45410   2456734.05078        -0.25289         3.61583         9.27226       105.30223         5.38027             nan             nan             nan         HIDESF1 
        HD45410   2456947.28667        16.48697         3.83773         9.21329       107.29163         4.64190             nan             nan             nan         HIDESF1 
        HD45410   2456991.13802        20.22219         3.62623         9.21721        90.18101         4.96448             nan             nan             nan         HIDESF1 
        HD45410   2457001.13110        15.53976         3.41961         9.21899        98.18048         3.89970             nan             nan             nan         HIDESF1 
        HD45410   2457046.16818        22.48342         3.25400         8.82223       123.08525         5.20075         0.11074         0.01405         1.00000          HIDESS 
        HD45410   2457054.05104        20.43509         3.87496         9.21555       119.24639         6.05342             nan             nan             nan         HIDESF1 
        HD45410   2457055.17321         6.85003         3.51292         9.22883        84.74922         4.59905             nan             nan             nan         HIDESF1 
        HD45410   2457235.30693       -32.79429         4.06877         9.21480        95.38967         7.36136             nan             nan             nan         HIDESF1 
        HD45410   2457327.28460       -33.58013         3.51208         8.76664       115.54369         5.22221         0.13669         0.01636         1.00000          HIDESS 
        HD45410   2457392.12699       -46.22433         3.05629         9.21883       114.83991         6.16248             nan             nan             nan         HIDESF1 
        HD45410   2457426.05643       -46.78031         3.24308         9.22459        95.64673         5.62347             nan             nan             nan         HIDESF1 
        HD45410   2457753.22780        15.47178         3.92540         9.19651       120.82554         6.37214             nan             nan             nan         HIDESF1 
        HD45410   2457760.32292        24.72003         3.46903         9.17245       112.55072         5.65153             nan             nan             nan         HIDESF1 
        HD45410   2457795.05190        14.97413         3.65065         9.19641       136.34456         7.26702             nan             nan             nan         HIDESF1 
        HD45410   2457865.99558        18.95763         3.90362         9.20461        91.95094         4.08207             nan             nan             nan         HIDESF1 
        HD45410   2458084.25289       -16.39501         3.31139         9.18028       108.29218         7.99116             nan             nan             nan         HIDESF1 
        HD45410   2458477.28912        -3.91672         4.01351         9.49186        69.27168         4.83920             nan             nan             nan         HIDESF2 
        HD45410   2458487.19275        -9.38443         4.71932         9.53413       109.12664         4.91340             nan             nan             nan         HIDESF2 
        HD45410   2458506.25583         0.01290         5.16726         9.56283        80.55284         6.94829             nan             nan             nan         HIDESF2 
        HD45410   2458826.34841        23.82332         4.08204         9.25907        62.32903         4.06441             nan             nan             nan         HIDESF2 
        HD45410   2458850.24807        15.32398         5.13252         9.22509        73.88044        11.46411             nan             nan             nan         HIDESF2 
        HD45410   2459191.16509       -20.59506         4.50983         9.24664        28.11652         5.40676             nan             nan             nan         HIDESF2 
        HD47366   2454046.34587        53.99000        27.92000             nan             nan             nan             nan             nan             nan            CESO 
        HD47366   2454093.19204        10.99982         4.61207             nan             nan             nan             nan             nan             nan          HIDESS 
        HD47366   2454133.12913        53.23000        21.39000             nan             nan             nan             nan             nan             nan            CESO 
        HD47366   2454144.11934       -19.48358         4.68673             nan             nan             nan             nan             nan             nan          HIDESS 
        HD47366   2454172.01776       -18.76191         3.73960             nan             nan             nan             nan             nan             nan          HIDESS 
        HD47366   2454398.38067       101.38000        17.20000             nan             nan             nan             nan             nan             nan            CESO 
        HD47366   2454459.23666       117.08000        30.81000             nan             nan             nan             nan             nan             nan            CESO 
        HD47366   2454459.25493        32.80000        27.00000             nan             nan             nan             nan             nan             nan            CESO 
        HD47366   2454467.13536        -4.79485         4.29853         9.11477       169.41123         8.27396         0.15410         0.02660         1.00000          HIDESS 
        HD47366   2454553.97209       -31.48509         4.18612         9.12270       184.88812         8.75007         0.17197         0.05925         1.00000          HIDESS 
        HD47366   2454755.29263        33.41096         3.54067         9.02528       115.95708         4.97951         0.14197         0.02665         1.00000          HIDESS 
        HD47366   2454796.26154        36.44938         4.19490         9.07358       182.55924        10.78978         0.12771         0.03487         1.00000          HIDESS 
        HD47366   2454818.17597        19.28342         3.92641         9.11081       160.62962         7.14091         0.15563         0.03019         1.00000          HIDESS 
        HD47366   2454823.12084        14.46659         4.21685         9.09621       144.71099         7.08124         0.15272         0.03887         1.00000          HIDESS 
        HD47366   2454834.16896        12.56095         4.42182         9.14505       168.71427         7.11267         0.10871         0.02447         1.00000          HIDESS 
        HD47366   2454856.09226        -6.16417         3.83559         9.12971       149.07070         6.72407         0.14958         0.02458         1.00000          HIDESS 
        HD47366   2454863.10215        -6.47784         4.44247         9.09583       119.57803         9.28174         0.11177         0.04687         1.00000          HIDESS 
        HD47366   2454864.04271       -11.62215         3.66055         9.04317       161.51275         6.10345         0.11675         0.02170         1.00000          HIDESS 
        HD47366   2454883.04388        -8.14608         4.61059         9.06204       153.84362         9.34212         0.12142         0.04536         1.00000          HIDESS 
        HD47366   2454923.93591       -17.29639         3.75405         9.09701       183.08171         7.68455         0.12885         0.04354         1.00000          HIDESS 
        HD47366   2455108.31580        41.63083         4.16510         8.98030       135.31006         7.83736         0.09989         0.04331         1.00000          HIDESS 
        HD47366   2455131.32661        47.80656         3.51351         9.04968       167.43400         6.43497         0.12742         0.02313         1.00000          HIDESS 
        HD47366   2455161.35026        40.84664         4.78166         9.14293       179.31223        11.25835         0.03922         0.02567         1.00000          HIDESS 
        HD47366   2455172.26994        96.73000        19.05000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455172.29115        76.60000        15.71000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455172.31248        51.67000        14.37000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455173.28437        45.82000        15.67000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455173.30558        56.52000        16.41000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455173.32691        65.67000        17.79000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455173.34803        65.70000        14.76000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455182.16574        11.44374         4.24445         8.96733       163.55678         7.82163         0.09593         0.02578         1.00000          HIDESS 
        HD47366   2455204.12100        -6.92483         4.57910         9.10107       157.59933        10.40217         0.10761         0.03318         1.00000          HIDESS 
        HD47366   2455226.06328       -45.55000        24.43000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455226.11359       -20.17000        22.59000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455227.09287       -26.57000        11.76000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455227.11459       -46.69000        13.18000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455227.13583       -12.38000        14.99000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455232.99816       -43.87834         3.61500         9.05775       141.42815         5.45005         0.12408         0.02214         1.00000          HIDESS 
        HD47366   2455267.01406       -59.93744         3.59428         9.00062       170.83832         7.78311         0.04400         0.02789         1.00000          HIDESS 
        HD47366   2455282.00015       -14.95000        13.80000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455282.01089       -22.57000        15.56000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455282.02160       -61.02000        17.25000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455282.98675       -45.16000        16.54000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455283.00788       -59.43000        16.13000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455283.02899       -52.03000        15.03000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455283.98109       -51.62000        13.79000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455284.00637       -29.21000        20.65000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455284.02755       -48.95000        20.95000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455284.04865        -6.26000        21.05000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455294.93583       -62.53930         3.49471         9.02691       205.32974         7.69011         0.09137         0.04918         1.00000          HIDESS 
        HD47366   2455471.29932        24.88620         3.69604         9.02862       117.57841         4.68265         0.10048         0.03149         1.00000          HIDESS 
        HD47366   2455502.24032        34.19674         4.09558         9.00261       143.51308         6.96328         0.11050         0.03243         1.00000          HIDESS 
        HD47366   2455520.33537        39.59000        17.73000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455520.35708        21.56000        16.20000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455525.23075        34.40755         4.81425         9.02317       166.52276         9.52041         0.04563         0.02830         1.00000          HIDESS 
        HD47366   2455545.22362        18.44211         3.76025         9.04830       160.82912         7.63795         0.09820         0.03035         1.00000          HIDESS 
        HD47366   2455552.24468        34.69000        14.87000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455552.26868        24.93000        21.94000             nan             nan             nan             nan             nan             nan            CESN 
        HD47366   2455581.04516       -12.07688         3.72399         9.07693       134.14463         5.30915         0.14378         0.02710         1.00000          HIDESS 
        HD47366   2455611.01697        -8.85996         4.19772         9.02341       170.38869         8.54966         0.07539         0.02912         1.00000          HIDESS 
        HD47366   2455625.02644       -13.99127         3.48188         9.04609       138.43507         6.08552         0.06153         0.03266         1.00000          HIDESS 
        HD47366   2455656.93234       -10.50406         3.84575         9.01725       212.10410         9.24122         0.12597         0.05874         1.00000          HIDESS 
        HD47366   2455854.28038        34.26253         3.66228         9.04268       124.24298         4.37498         0.09120         0.02393         1.00000          HIDESS 
        HD47366   2455877.25706        17.52949         5.46470         8.98086       173.76737        18.58537         0.12722         0.09232         1.00000          HIDESS 
        HD47366   2455878.34406        43.36000        13.50000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455878.36928        33.75000        13.50000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455878.39231        -0.73000        16.05000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455878.41542        42.81000        16.18000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455879.29786         4.27000        19.96000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455882.30168        11.75613         3.79504         9.07042       185.89216         6.78535         0.19574         0.04512         1.00000          HIDESS 
        HD47366   2455905.20613        23.16000        11.56000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455905.22918        14.68000        12.04000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455905.25216        36.90000        14.27000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455905.27520        48.98000        15.64000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455907.26569         1.38000         8.18000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455907.28904        -8.44000         9.30000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455907.31200         8.20000        10.15000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455907.33497         7.82000         9.57000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455922.13889       -13.85418         3.95934         9.07536       143.70580         6.27651         0.13636         0.03029         1.00000          HIDESS 
        HD47366   2455936.14404       -29.36000        10.11000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455936.16757       -35.52000        10.34000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455936.19104       -32.01000        10.67000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455936.21395       -22.04000        11.92000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455938.10288       -34.10859         3.84348         9.02379       148.92688         5.28879         0.13601         0.02424         1.00000          HIDESS 
        HD47366   2455959.11480       -30.57000        22.97000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455959.13775       -43.36000        20.46000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455959.16072       -43.22000        18.84000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455959.18368       -62.76000        24.07000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455960.09918       -49.14000        13.67000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455960.12215       -39.46000        15.51000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455966.05348       -39.47000        19.32000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455966.07652       -31.79000        20.95000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455966.09951       -79.17000        17.80000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455966.12250       -67.76000        17.67000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455976.04274       -49.39773         4.70589         9.07732       164.76223         7.76044         0.12997         0.03798         1.00000          HIDESS 
        HD47366   2455997.97406       -66.24000        10.18000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455997.99732       -52.05000        11.16000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455998.02060       -47.66000        11.05000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2455998.04388       -60.49000        10.68000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2456010.93252       -65.54709         5.66727         8.99635       128.56824        14.39243         0.07375         0.06355         1.00000          HIDESS 
        HD47366   2456032.96647       -55.83322         4.44240         8.99907       191.54430        14.09552         0.26961         0.15616         1.00000          HIDESS 
        HD47366   2456199.33422        51.35000         6.54000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2456199.35741        45.59000         7.80000             nan             nan             nan             nan             nan             nan             HRS 
        HD47366   2456215.30922        27.99487         3.91746         9.35872       163.18715         8.49806         0.09909         0.02489         1.00000          HIDESS 
        HD47366   2456232.33632        54.89000         5.89000             nan             nan             nan             nan             nan             nan             HRS 
